Order ID,Order Date,Item Name,Quantity,Product Price,Total products
8863,2017-03-26 20:19:00,Mango Chutney,1,0.5,7
8860,2017-03-26 19:33:00,Mint Sauce,1,0.5,6
8857,2017-03-26 19:13:00,Mango Chutney,1,0.5,11
8857,2017-03-26 19:13:00,Mint Sauce,1,0.5,11
8853,2017-03-26 18:37:00,Mango Chutney,1,0.5,6
8853,2017-03-26 18:37:00,Onion Chutney,1,0.5,6
8853,2017-03-26 18:37:00,Red Sauce,1,0.5,6
8850,2017-03-26 18:01:00,Mint Sauce,3,0.5,10
8850,2017-03-26 18:01:00,Mango Chutney,1,0.5,10
8849,2017-03-26 17:46:00,Red Sauce,1,0.5,8
8849,2017-03-26 17:46:00,Onion Chutney,1,0.5,8
8846,2017-03-26 17:08:00,Mango Chutney,1,0.5,12
8846,2017-03-26 17:08:00,Mint Sauce,1,0.5,12
8843,2017-03-26 16:20:00,Mango Chutney,1,0.5,6
8817,2017-03-25 19:44:00,Mango Chutney,1,0.5,11
8816,2017-03-25 19:38:00,Mango Chutney,2,0.5,9
8816,2017-03-25 19:38:00,Onion Chutney,5,0.5,9
8815,2017-03-25 19:28:00,Mango Chutney,1,0.5,7
8814,2017-03-25 19:26:00,Mango Chutney,2,0.5,6
8813,2017-03-25 19:18:00,Mango Chutney,1,0.5,11
8813,2017-03-25 19:18:00,Onion Chutney,1,0.5,11
8813,2017-03-25 19:18:00,Mint Sauce,1,0.5,11
8813,2017-03-25 19:18:00,Lime Pickle,1,0.5,11
8813,2017-03-25 19:18:00,Red Sauce,1,0.5,11
8809,2017-03-25 18:49:00,Mango Chutney,1,0.5,5
8807,2017-03-25 18:25:00,Mango Chutney,1,0.5,13
8807,2017-03-25 18:25:00,Mint Sauce,1,0.5,13
8806,2017-03-25 18:22:00,Mango Chutney,2,0.5,7
8800,2017-03-25 18:02:00,Onion Chutney,2,0.5,9
8800,2017-03-25 18:02:00,Mint Sauce,1,0.5,9
8799,2017-03-25 18:00:00,Mint Sauce,1,0.5,5
8798,2017-03-25 17:55:00,Red Sauce,2,0.5,7
8797,2017-03-25 17:40:00,Mango Chutney,1,0.5,8
8796,2017-03-25 17:39:00,Mango Chutney,1,0.5,9
8796,2017-03-25 17:39:00,Mint Sauce,1,0.5,9
8792,2017-03-24 22:07:00,Onion Chutney,2,0.5,7
8792,2017-03-24 22:07:00,Mango Chutney,1,0.5,7
8791,2017-03-24 21:51:00,Mango Chutney,1,0.5,6
8790,2017-03-24 20:44:00,Mango Chutney,1,0.5,12
8790,2017-03-24 20:44:00,Onion Chutney,1,0.5,12
