Order Number,Order Date,Item Name,Quantity,Product Price,Total products
5938,2017-05-07 17:56:00,Mango Chutney,1,0.5,13
5938,2017-05-07 17:56:00,Onion Chutney,1,0.5,13
5331,2017-05-05 19:25:00,Mango Chutney,1,0.5,5
5327,2017-05-05 19:01:00,Mango Chutney,2,0.5,6
5321,2017-05-05 17:16:00,Mango Chutney,1,0.5,6
4993,2017-05-04 18:52:00,Mango Chutney,1,0.5,6
4992,2017-05-04 17:24:00,Lime Pickle,1,0.5,14
4991,2017-05-04 17:17:00,Lime Pickle,1,0.5,13
4715,2017-05-03 21:39:00,Red Sauce,1,0.5,6
4715,2017-05-03 21:39:00,Onion Chutney,1,0.5,6
4710,2017-05-03 18:04:00,Mango Chutney,1,0.5,6
4710,2017-05-03 18:04:00,Red Sauce,1,0.5,6
4480,2017-05-02 17:55:00,Mango Chutney,1,0.5,14
4480,2017-05-02 17:55:00,Onion Chutney,1,0.5,14
4480,2017-05-02 17:55:00,Mint Sauce,1,0.5,14
4480,2017-05-02 17:55:00,Red Sauce,1,0.5,14
4479,2017-05-02 17:31:00,Onion Chutney,1,0.5,4
4197,2017-05-01 17:38:00,Mango Chutney,1,0.5,5
5938,2017-05-07 17:56:00,Plain Papadum,4,0.8,13
5321,2017-05-05 17:16:00,Plain Papadum,3,0.8,6
4993,2017-05-04 18:52:00,Plain Papadum,2,0.8,6
4992,2017-05-04 17:24:00,Plain Papadum,2,0.8,14
4991,2017-05-04 17:17:00,Plain Papadum,2,0.8,13
4715,2017-05-03 21:39:00,Plain Papadum,2,0.8,6
4713,2017-05-03 19:04:00,Plain Papadum,1,0.8,6
4710,2017-05-03 18:04:00,Plain Papadum,5,0.8,6
4480,2017-05-02 17:55:00,Plain Papadum,2,0.8,14
4480,2017-05-02 17:55:00,Spicy Papadum,1,0.8,14
4197,2017-05-01 17:38:00,Plain Papadum,4,0.8,5
5938,2017-05-07 17:56:00,Chapati,2,1.95,13
5340,2017-05-05 21:32:00,Chapati,2,1.95,7
5337,2017-05-05 19:58:00,Chapati,4,1.95,4
5330,2017-05-05 19:22:00,Puree,1,1.95,8
5326,2017-05-05 18:53:00,Chapati,3,1.95,5
4715,2017-05-03 21:39:00,Chapati,1,1.95,6
4483,2017-05-02 19:57:00,Puree,1,1.95,5
4480,2017-05-02 17:55:00,Chapati,1,1.95,14
4480,2017-05-02 17:55:00,Puree,1,1.95,14
5938,2017-05-07 17:56:00,Plain Naan,1,2.6,13
5937,2017-05-07 17:49:00,Plain Naan,1,2.6,4
5642,2017-05-06 20:14:00,Plain Naan,1,2.6,5
5642,2017-05-06 20:14:00,Tandoori Roti,1,2.6,5
5339,2017-05-05 20:38:00,Plain Naan,1,2.6,5
5338,2017-05-05 20:05:00,Tandoori Roti,1,2.6,4
5333,2017-05-05 19:34:00,Plain Naan,1,2.6,9
5332,2017-05-05 19:32:00,Plain Naan,1,2.6,4
5329,2017-05-05 19:13:00,Plain Naan,2,2.6,3
4997,2017-05-04 20:09:00,Plain Naan,1,2.6,3
4995,2017-05-04 19:55:00,Plain Naan,4,2.6,2
4993,2017-05-04 18:52:00,Plain Naan,1,2.6,6
4708,2017-05-03 17:42:00,Plain Naan,1,2.6,6
4195,2017-05-01 13:37:00,Plain Naan,1,2.6,4
5942,2017-05-07 19:55:00,Plain Rice,2,2.95,3
5941,2017-05-07 19:12:00,Pilau Rice,1,2.95,4
5940,2017-05-07 19:11:00,Plain Rice,1,2.95,4
5940,2017-05-07 19:11:00,Garlic Naan,1,2.95,4
5939,2017-05-07 19:09:00,Garlic Naan,1,2.95,4
5939,2017-05-07 19:09:00,Plain Rice,1,2.95,4
5938,2017-05-07 17:56:00,Keema Naan,1,2.95,13
5937,2017-05-07 17:49:00,Pilau Rice,2,2.95,4
5937,2017-05-07 17:49:00,Keema Naan,1,2.95,4
5936,2017-05-07 05:15:00,Garlic Naan,1,2.95,4
5935,2017-05-07 05:09:00,Garlic Naan,1,2.95,4
5641,2017-05-06 20:03:00,Pilau Rice,1,2.95,6
5640,2017-05-06 18:06:00,Pilau Rice,1,2.95,6
5640,2017-05-06 18:06:00,Garlic Naan,2,2.95,6
5637,2017-05-06 12:40:00,Pilau Rice,1,2.95,4
5637,2017-05-06 12:40:00,Garlic Naan,2,2.95,4
5340,2017-05-05 21:32:00,Plain Rice,1,2.95,7
5339,2017-05-05 20:38:00,Peshwari Naan,1,2.95,5
5339,2017-05-05 20:38:00,Plain Rice,2,2.95,5
5338,2017-05-05 20:05:00,Plain Rice,1,2.95,4
5336,2017-05-05 19:49:00,Pilau Rice,1,2.95,5
5336,2017-05-05 19:49:00,Keema Naan,1,2.95,5
5333,2017-05-05 19:34:00,Garlic Naan,1,2.95,9
5333,2017-05-05 19:34:00,Peshwari Naan,1,2.95,9
5332,2017-05-05 19:32:00,Plain Rice,2,2.95,4
5331,2017-05-05 19:25:00,Plain Rice,1,2.95,5
5330,2017-05-05 19:22:00,Garlic Naan,1,2.95,8
5330,2017-05-05 19:22:00,Keema Naan,1,2.95,8
5329,2017-05-05 19:13:00,Pilau Rice,1,2.95,3
5327,2017-05-05 19:01:00,Pilau Rice,1,2.95,6
5327,2017-05-05 19:01:00,Garlic Naan,1,2.95,6
5326,2017-05-05 18:53:00,Pilau Rice,2,2.95,5
5324,2017-05-05 17:40:00,Kulcha Naan,2,2.95,7
5324,2017-05-05 17:40:00,Peshwari Naan,1,2.95,7
5323,2017-05-05 17:26:00,Garlic Naan,2,2.95,1
5321,2017-05-05 17:16:00,Keema Naan,1,2.95,6
5321,2017-05-05 17:16:00,Pilau Rice,2,2.95,6
4996,2017-05-04 20:00:00,Pilau Rice,1,2.95,5
4996,2017-05-04 20:00:00,Keema Naan,1,2.95,5
4996,2017-05-04 20:00:00,Coke 1.5 ltr,1,2.95,5
4994,2017-05-04 19:29:00,Diet Coke 1.5 ltr,1,2.95,4
4993,2017-05-04 18:52:00,Plain Rice,2,2.95,6
4992,2017-05-04 17:24:00,Plain Rice,1,2.95,14
4992,2017-05-04 17:24:00,Pilau Rice,2,2.95,14
4992,2017-05-04 17:24:00,Garlic Naan,1,2.95,14
4992,2017-05-04 17:24:00,Keema Naan,2,2.95,14
4991,2017-05-04 17:17:00,Keema Naan,2,2.95,13
4991,2017-05-04 17:17:00,Pilau Rice,2,2.95,13
4991,2017-05-04 17:17:00,Garlic Naan,1,2.95,13
4991,2017-05-04 17:17:00,Plain Rice,1,2.95,13
4715,2017-05-03 21:39:00,Plain Rice,1,2.95,6
4713,2017-05-03 19:04:00,Peshwari Naan,1,2.95,6
4712,2017-05-03 18:42:00,Garlic Naan,1,2.95,5
4711,2017-05-03 18:39:00,Plain Rice,1,2.95,5
4710,2017-05-03 18:04:00,Garlic Naan,2,2.95,6
4709,2017-05-03 17:52:00,Peshwari Naan,1,2.95,5
4709,2017-05-03 17:52:00,Plain Rice,1,2.95,5
4485,2017-05-02 20:44:00,Garlic Naan,2,2.95,3
4484,2017-05-02 20:00:00,Garlic Naan,1,2.95,5
4484,2017-05-02 20:00:00,Onion Naan,1,2.95,5
4484,2017-05-02 20:00:00,Coke 1.5 ltr,1,2.95,5
4483,2017-05-02 19:57:00,Plain Rice,1,2.95,5
4482,2017-05-02 18:37:00,Keema Naan,1,2.95,5
4481,2017-05-02 18:37:00,Pilau Rice,2,2.95,8
4481,2017-05-02 18:37:00,Paratha,3,2.95,8
4479,2017-05-02 17:31:00,Garlic Naan,1,2.95,4
4479,2017-05-02 17:31:00,Diet Coke 1.5 ltr,1,2.95,4
4478,2017-05-02 17:02:00,Garlic Naan,1,2.95,7
4478,2017-05-02 17:02:00,Pilau Rice,1,2.95,7
4196,2017-05-01 17:35:00,Keema Naan,1,2.95,7
4196,2017-05-01 17:35:00,Garlic Naan,1,2.95,7
4195,2017-05-01 13:37:00,Plain Rice,2,2.95,4
5941,2017-05-07 19:12:00,Meat Samosa,1,3.95,4
5938,2017-05-07 17:56:00,Meat Samosa,1,3.95,13
5938,2017-05-07 17:56:00,Onion Bhajee,1,3.95,13
5938,2017-05-07 17:56:00,Mushroom Rice,1,3.95,13
5936,2017-05-07 05:15:00,Meat Samosa,2,3.95,4
5936,2017-05-07 05:15:00,Keema Rice,2,3.95,4
5935,2017-05-07 05:09:00,Meat Samosa,2,3.95,4
5935,2017-05-07 05:09:00,Keema Rice,2,3.95,4
5641,2017-05-06 20:03:00,Onion Bhajee,1,3.95,6
5641,2017-05-06 20:03:00,Special Fried Rice,1,3.95,6
5640,2017-05-06 18:06:00,French Fries,1,3.95,6
5640,2017-05-06 18:06:00,Still Water (750ml),1,3.95,6
5636,2017-05-06 04:52:00,Meat Samosa,1,3.95,4
5636,2017-05-06 04:52:00,Keema Rice,1,3.95,4
5340,2017-05-05 21:32:00,Mushroom Rice,1,3.95,7
5337,2017-05-05 19:58:00,Vegetable Rice,1,3.95,4
5336,2017-05-05 19:49:00,Onion Bhajee,1,3.95,5
5333,2017-05-05 19:34:00,Onion Bhajee,1,3.95,9
5331,2017-05-05 19:25:00,Onion Bhajee,1,3.95,5
5330,2017-05-05 19:22:00,Saag Rice,1,3.95,8
5330,2017-05-05 19:22:00,Special Fried Rice,1,3.95,8
5330,2017-05-05 19:22:00,Onion Bhajee,1,3.95,8
5328,2017-05-05 19:09:00,Vegetable Rice,1,3.95,9
5324,2017-05-05 17:40:00,Onion Bhajee,2,3.95,7
5324,2017-05-05 17:40:00,Keema Rice,1,3.95,7
5324,2017-05-05 17:40:00,Garlic Rice,1,3.95,7
4994,2017-05-04 19:29:00,Special Fried Rice,1,3.95,4
4992,2017-05-04 17:24:00,Onion Bhajee,1,3.95,14
4992,2017-05-04 17:24:00,COBRA (330ML),1,3.95,14
4991,2017-05-04 17:17:00,Onion Bhajee,1,3.95,13
4714,2017-05-03 19:40:00,Vegetable Rice,3,3.95,3
4713,2017-05-03 19:04:00,Mushroom Rice,1,3.95,6
4712,2017-05-03 18:42:00,Egg Rice,1,3.95,5
4711,2017-05-03 18:39:00,Onion Bhajee,1,3.95,5
4710,2017-05-03 18:04:00,Vegetable Rice,2,3.95,6
4708,2017-05-03 17:42:00,Keema Rice,1,3.95,6
4708,2017-05-03 17:42:00,Mushroom Rice,1,3.95,6
4482,2017-05-02 18:37:00,Meat Samosa,1,3.95,5
4482,2017-05-02 18:37:00,Keema Rice,1,3.95,5
4481,2017-05-02 18:37:00,Onion Bhajee,2,3.95,8
4481,2017-05-02 18:37:00,Mushroom Rice,2,3.95,8
4481,2017-05-02 18:37:00,Masala Sauce,1,3.95,8
4480,2017-05-02 17:55:00,Onion Bhajee,1,3.95,14
4480,2017-05-02 17:55:00,Egg Rice,1,3.95,14
4480,2017-05-02 17:55:00,Mushroom Rice,1,3.95,14
4480,2017-05-02 17:55:00,Meat Samosa,1,3.95,14
4477,2017-05-02 12:25:00,Egg Rice,1,3.95,4
4477,2017-05-02 12:25:00,Vegetable Rice,1,3.95,4
4197,2017-05-01 17:38:00,Onion Bhajee,1,3.95,5
4197,2017-05-01 17:38:00,Onion Rice,1,3.95,5
4196,2017-05-01 17:35:00,Meat Samosa,1,3.95,7
4196,2017-05-01 17:35:00,French Fries,1,3.95,7
4195,2017-05-01 13:37:00,Meat Samosa,1,3.95,4
5940,2017-05-07 19:11:00,Chicken Tikka,1,4.95,4
5939,2017-05-07 19:09:00,Chicken Tikka,1,4.95,4
5938,2017-05-07 17:56:00,Lamb Tikka,1,4.95,13
5643,2017-05-06 20:38:00,Aloo Chaat,1,4.95,4
5643,2017-05-06 20:38:00,Sheek Kebab,1,4.95,4
5338,2017-05-05 20:05:00,Chicken Tikka,1,4.95,4
5330,2017-05-05 19:22:00,Chicken Chaat,1,4.95,8
5328,2017-05-05 19:09:00,Chicken Tikka,1,4.95,9
5328,2017-05-05 19:09:00,Lamb Tikka,1,4.95,9
5326,2017-05-05 18:53:00,Sheek Kebab,2,4.95,5
5322,2017-05-05 17:24:00,Vegetable Roll,2,4.95,3
4482,2017-05-02 18:37:00,Sheek Kebab,1,4.95,5
4197,2017-05-01 17:38:00,Chicken Chaat,1,4.95,5
5938,2017-05-07 17:56:00,Bombay Aloo,1,5.95,13
5643,2017-05-06 20:38:00,Mixed Vegetable Curry,1,5.95,4
5641,2017-05-06 20:03:00,Bombay Aloo,1,5.95,6
5638,2017-05-06 14:59:00,Bhindi Bhajee,1,5.95,2
5637,2017-05-06 12:40:00,Mixed Starter,1,5.95,4
5340,2017-05-05 21:32:00,Mixed Starter,1,5.95,7
5340,2017-05-05 21:32:00,Saag Aloo,1,5.95,7
5339,2017-05-05 20:38:00,COBRA (660ML),2,5.95,5
5337,2017-05-05 19:58:00,Mixed Vegetable Curry,2,5.95,4
5333,2017-05-05 19:34:00,Mixed Vegetable Curry,1,5.95,9
5333,2017-05-05 19:34:00,Dall Samba,1,5.95,9
5328,2017-05-05 19:09:00,Bombay Aloo,1,5.95,9
5328,2017-05-05 19:09:00,Mushroom Bhajee,1,5.95,9
5327,2017-05-05 19:01:00,Bombay Aloo,1,5.95,6
5325,2017-05-05 18:34:00,King Prawn Butterfly,1,5.95,4
5321,2017-05-05 17:16:00,Mixed Starter,1,5.95,6
4997,2017-05-04 20:09:00,Mixed Starter,1,5.95,3
4993,2017-05-04 18:52:00,Bombay Aloo,1,5.95,6
4992,2017-05-04 17:24:00,Royal Paneer,1,5.95,14
4992,2017-05-04 17:24:00,Chana Masala,1,5.95,14
4991,2017-05-04 17:17:00,Royal Paneer,1,5.95,13
4991,2017-05-04 17:17:00,Chana Masala,1,5.95,13
4713,2017-05-03 19:04:00,Saag Aloo,1,5.95,6
4712,2017-05-03 18:42:00,Saag Aloo,1,5.95,5
4711,2017-05-03 18:39:00,Saag Dall,1,5.95,5
4709,2017-05-03 17:52:00,Mixed Vegetable Curry,1,5.95,5
4708,2017-05-03 17:42:00,Saag Aloo,1,5.95,6
4485,2017-05-02 20:44:00,Tarka Dall,1,5.95,3
4484,2017-05-02 20:00:00,Mixed Starter,1,5.95,5
4483,2017-05-02 19:57:00,Tarka Dall,1,5.95,5
4481,2017-05-02 18:37:00,Bombay Aloo,2,5.95,8
4478,2017-05-02 17:02:00,Mixed Starter,1,5.95,7
4478,2017-05-02 17:02:00,Aloo Gobi,1,5.95,7
4478,2017-05-02 17:02:00,Saag Paneer,1,5.95,7
5942,2017-05-07 19:55:00,Madras,1,7.95,3
5937,2017-05-07 17:49:00,Madras,2,7.95,4
5641,2017-05-06 20:03:00,Madras,1,7.95,6
5640,2017-05-06 18:06:00,Vindaloo,1,7.95,6
5336,2017-05-05 19:49:00,Madras,1,7.95,5
5332,2017-05-05 19:32:00,Curry,1,7.95,4
5328,2017-05-05 19:09:00,Madras,1,7.95,9
5326,2017-05-05 18:53:00,Madras,1,7.95,5
4708,2017-05-03 17:42:00,Madras,1,7.95,6
4708,2017-05-03 17:42:00,Madras,1,7.95,6
4195,2017-05-01 13:37:00,Curry,1,7.95,4
5942,2017-05-07 19:55:00,Chicken Tikka Masala,1,8.95,3
5941,2017-05-07 19:12:00,Tandoori Chicken Masala,1,8.95,4
5940,2017-05-07 19:11:00,Lamb Karahi,1,8.95,4
5939,2017-05-07 19:09:00,Lamb Karahi,1,8.95,4
5938,2017-05-07 17:56:00,Chicken Tikka Pasanda,1,8.95,13
5938,2017-05-07 17:56:00,Chicken Tikka Masala,1,8.95,13
5643,2017-05-06 20:38:00,Lamb Tikka (Main),1,8.95,4
5642,2017-05-06 20:14:00,Korma,1,8.95,5
5642,2017-05-06 20:14:00,Dhansak,1,8.95,5
5641,2017-05-06 20:03:00,Korma,1,8.95,6
5638,2017-05-06 14:59:00,Tandoori Chicken (Main),2,8.95,2
5637,2017-05-06 12:40:00,Lamb Karahi,1,8.95,4
5636,2017-05-06 04:52:00,Lamb Tikka Masala,1,8.95,4
5340,2017-05-05 21:32:00,Korma,1,8.95,7
5340,2017-05-05 21:32:00,Chicken Tikka Masala,1,8.95,7
5339,2017-05-05 20:38:00,Lamb Tikka Jalfrezi,1,8.95,5
5338,2017-05-05 20:05:00,Methi,1,8.95,4
5336,2017-05-05 19:49:00,Dhansak,1,8.95,5
5333,2017-05-05 19:34:00,Korma,1,8.95,9
5333,2017-05-05 19:34:00,Chicken Tikka Masala,1,8.95,9
5332,2017-05-05 19:32:00,Korma,1,8.95,4
5331,2017-05-05 19:25:00,Chicken Tikka Masala,1,8.95,5
5329,2017-05-05 19:13:00,Chicken Tikka Masala,1,8.95,3
5328,2017-05-05 19:09:00,Chicken Tikka Masala,1,8.95,9
5326,2017-05-05 18:53:00,Chicken Tikka Masala,2,8.95,5
5324,2017-05-05 17:40:00,Dhansak,2,8.95,7
5321,2017-05-05 17:16:00,Korma,2,8.95,6
4995,2017-05-04 19:55:00,Korma,2,8.95,2
4994,2017-05-04 19:29:00,Chicken Tikka Masala,1,8.95,4
4993,2017-05-04 18:52:00,Korma,2,8.95,6
4992,2017-05-04 17:24:00,Dupiaza,1,8.95,14
4992,2017-05-04 17:24:00,Chicken Tikka Jalfrezi,1,8.95,14
4992,2017-05-04 17:24:00,Chicken Tikka Jeera,1,8.95,14
4991,2017-05-04 17:17:00,Chicken Tikka Jalfrezi,1,8.95,13
