Order ID,Order Date,Item Name,Quantity,Product Price,Total products
22982,2019-03-31 21:02:00,Red Sauce,1,0.5,7
22981,2019-03-31 20:47:00,Red Sauce,2,0.5,9
22981,2019-03-31 20:47:00,Mango Chutney,1,0.5,9
22979,2019-03-31 20:22:00,Red Sauce,1,0.5,16
22979,2019-03-31 20:22:00,Mint Sauce,1,0.5,16
22979,2019-03-31 20:22:00,Onion Chutney,1,0.5,16
22976,2019-03-31 20:06:00,Mango Chutney,1,0.5,7
22975,2019-03-31 19:34:00,Mint Sauce,1,0.5,6
22974,2019-03-31 19:31:00,Onion Chutney,1,0.5,9
22974,2019-03-31 19:31:00,Mango Chutney,1,0.5,9
22974,2019-03-31 19:31:00,Mint Sauce,1,0.5,9
22971,2019-03-31 19:14:00,Mango Chutney,2,0.5,9
22966,2019-03-31 18:33:00,Mango Chutney,1,0.5,10
22966,2019-03-31 18:33:00,Mint Sauce,1,0.5,10
22960,2019-03-31 17:57:00,Mango Chutney,2,0.5,5
22959,2019-03-31 17:50:00,Mango Chutney,3,0.5,14
22956,2019-03-31 17:26:00,Onion Chutney,1,0.5,20
22956,2019-03-31 17:26:00,Lime Pickle,1,0.5,20
22956,2019-03-31 17:26:00,Mint Sauce,1,0.5,20
22953,2019-03-31 17:00:00,Onion Chutney,2,0.5,9
22953,2019-03-31 17:00:00,Red Sauce,2,0.5,9
22953,2019-03-31 17:00:00,Mango Chutney,1,0.5,9
22953,2019-03-31 17:00:00,Lime Pickle,1,0.5,9
22949,2019-03-31 12:06:00,Mango Chutney,1,0.5,1
22947,2019-03-31 11:44:00,Mango Chutney,1,0.5,7
22945,2019-03-30 21:38:00,Mango Chutney,1,0.5,8
22945,2019-03-30 21:38:00,Onion Chutney,2,0.5,8
22942,2019-03-30 20:13:00,Onion Chutney,1,0.5,4
22941,2019-03-30 19:59:00,Mango Chutney,1,0.5,9
22939,2019-03-30 19:51:00,Mint Sauce,1,0.5,8
22936,2019-03-30 19:27:00,Mango Chutney,1,0.5,10
22936,2019-03-30 19:27:00,Onion Chutney,1,0.5,10
22936,2019-03-30 19:27:00,Mint Sauce,1,0.5,10
22932,2019-03-30 19:03:00,Mango Chutney,2,0.5,6
22931,2019-03-30 19:03:00,Onion Chutney,1,0.5,8
22931,2019-03-30 19:03:00,Mango Chutney,1,0.5,8
22928,2019-03-30 18:55:00,Onion Chutney,1,0.5,13
22928,2019-03-30 18:55:00,Mint Sauce,1,0.5,13
22928,2019-03-30 18:55:00,Mango Chutney,1,0.5,13
22921,2019-03-30 18:32:00,Mango Chutney,1,0.5,7
22916,2019-03-30 17:53:00,Mango Chutney,1,0.5,11
22914,2019-03-30 17:42:00,Mango Chutney,1,0.5,8
22914,2019-03-30 17:42:00,Red Sauce,1,0.5,8
22913,2019-03-30 17:42:00,Lime Pickle,1,0.5,10
22913,2019-03-30 17:42:00,Mint Sauce,2,0.5,10
22913,2019-03-30 17:42:00,Mango Chutney,1,0.5,10
22911,2019-03-30 17:22:00,Mango Chutney,1,0.5,6
