Order ID,Order Date,Item Name,Quantity,Product Price,Total products
16755,2018-05-31 20:20:00,Mango Chutney,1,0.5,6
16752,2018-05-31 19:31:00,Red Sauce,1,0.5,8
16751,2018-05-31 19:19:00,Mango Chutney,1,0.5,6
16751,2018-05-31 19:19:00,Red Sauce,1,0.5,6
16750,2018-05-31 19:16:00,Mint Sauce,1,0.5,8
16746,2018-05-31 18:18:00,Mango Chutney,1,0.5,9
16746,2018-05-31 18:18:00,Mint Sauce,1,0.5,9
16746,2018-05-31 18:18:00,Red Sauce,1,0.5,9
16739,2018-05-30 19:18:00,Mango Chutney,1,0.5,7
16737,2018-05-30 18:54:00,Onion Chutney,1,0.5,11
16734,2018-05-30 15:55:00,Mango Chutney,1,0.5,12
16734,2018-05-30 15:55:00,Onion Chutney,1,0.5,12
16734,2018-05-30 15:55:00,Lime Pickle,1,0.5,12
16726,2018-05-29 18:56:00,Red Sauce,1,0.5,8
16726,2018-05-29 18:56:00,Mint Sauce,1,0.5,8
16719,2018-05-29 17:33:00,Mint Sauce,1,0.5,9
16719,2018-05-29 17:33:00,Onion Chutney,1,0.5,9
16718,2018-05-28 22:32:00,Mango Chutney,1,0.5,9
16718,2018-05-28 22:32:00,Onion Chutney,1,0.5,9
16713,2018-05-28 18:47:00,Mint Sauce,3,0.5,8
16704,2018-05-28 17:03:00,Lime Pickle,1,0.5,10
16704,2018-05-28 17:03:00,Mint Sauce,1,0.5,10
15115,2018-06-03 19:12:00,Mint Sauce,1,0.5,10
15115,2018-06-03 19:12:00,Mango Chutney,1,0.5,10
15112,2018-06-03 17:02:00,Onion Chutney,1,0.5,6
14463,2018-06-02 20:30:00,Lime Pickle,1,0.5,9
14463,2018-06-02 20:30:00,Mint Sauce,1,0.5,9
14463,2018-06-02 20:30:00,Mango Chutney,1,0.5,9
14463,2018-06-02 20:30:00,Red Sauce,1,0.5,9
13892,2018-06-01 20:33:00,Mango Chutney,1,0.5,14
13892,2018-06-01 20:33:00,Onion Chutney,2,0.5,14
13892,2018-06-01 20:33:00,Red Sauce,1,0.5,14
13891,2018-06-01 20:34:00,Mango Chutney,3,0.5,5
13887,2018-06-01 19:50:00,Mint Sauce,1,0.5,9
13884,2018-06-01 19:30:00,Red Sauce,2,0.5,9
13883,2018-06-01 19:30:00,Mango Chutney,1,0.5,7
13882,2018-06-01 19:26:00,Red Sauce,2,0.5,9
13879,2018-06-01 18:55:00,Mint Sauce,1,0.5,7
13879,2018-06-01 18:55:00,Red Sauce,1,0.5,7
13878,2018-06-01 18:52:00,Mango Chutney,1,0.5,10
13878,2018-06-01 18:52:00,Mint Sauce,1,0.5,10
13877,2018-06-01 18:51:00,Mint Sauce,1,0.5,8
13875,2018-06-01 18:45:00,Mint Sauce,1,0.5,9
13874,2018-06-01 18:44:00,Mint Sauce,1,0.5,10
13874,2018-06-01 18:44:00,Red Sauce,1,0.5,10
13868,2018-06-01 17:52:00,Mint Sauce,1,0.5,9
13868,2018-06-01 17:52:00,Red Sauce,1,0.5,9
13868,2018-06-01 17:52:00,Mango Chutney,1,0.5,9
13862,2018-06-01 17:39:00,Mango Chutney,1,0.5,9
13862,2018-06-01 17:39:00,Red Sauce,1,0.5,9
13860,2018-06-01 17:29:00,Mint Sauce,1,0.5,5
13858,2018-06-01 17:02:00,Mango Chutney,1,0.5,10
13858,2018-06-01 17:02:00,Red Sauce,1,0.5,10
